Query Text	IsThirdParty
SELECT * FROM document WHERE document.PatNum=61 AND document.DocCategory=190 ORDER BY DateCreated DESC LIMIT 1;	0
SELECT * FROM payortype WHERE PatNum=61 ORDER BY DateStart DESC LIMIT 1;	0
SELECT refattach.* FROM refattach INNER JOIN referral ON refattach.ReferralNum=referral.ReferralNum WHERE refattach.PatNum = 61 ORDER BY refattach.ItemOrder;	0
SELECT * FROM patientlink WHERE (PatNumTo IN(61) OR PatNumFrom IN(61)) AND LinkType=1;	0
"INSERT INTO securitylog (PermType,UserNum,LogDateTime,LogText,PatNum,CompName,FKey,LogSource,DefNum,DefNumError,DateTPrevious) VALUES(2,1,NOW(),'',61,'ALEXG',0,0,0,0,'0001-01-01 00:00:00');"	0
SELECT * FROM securitylog WHERE SecurityLogNum = 18106;	0
"INSERT INTO securityloghash (SecurityLogNum,LogHash) VALUES(18106,'MzqRERermKjSRv6KQ/LQnOnxyomASbR//FTGJy4SneY=');"	0
SELECT * FROM patfielddef ORDER BY ItemOrder;	0
SELECT * FROM fieldDefLink;	0
SELECT * FROM recalltype ORDER BY Description;	0
"SELECT DISTINCT f.*,CASE WHEN f.Guarantor != f.PatNum THEN 1 ELSE 0 END AS IsNotGuar     FROM patient p    INNER JOIN patient f ON f.Guarantor=p.Guarantor    WHERE p.PatNum IN (61)    ORDER BY IsNotGuar, f.Birthdate;"	0
SELECT * FROM patientnote WHERE PatNum = 61;	0
"SELECT D.* FROM inssub D,((SSELECT A.InsSubNum FROM inssub A WHERE A.Subscriber=61) UNION (SSELECT B.InsSubNum FROM inssub B,patplan P WHERE B.InsSubNum=P.InsSubNum AND ( P.PatNum=61))) C WHERE D.InsSubNum=C.InsSubNum ORDER BY DateEffective;"	0
SELECT * from patplan WHERE PatNum = 61 ORDER BY Ordinal;	0
"SELECT * FROM procedurecode ORDER BY ProcCat,ProcCode;"	0
"SELECT CommDateTime,CommType,Mode_,SentOrReceived,Note,CommlogNum,commlog.PatNum,CommSource FROM commlog WHERE PatNum IN (61);"	0
"SELECT emailmessage.MsgDateTime,emailmessage.SentOrReceived,emailmessage.Subject,emailmessage.EmailMessageNum, emailmessage.PatNum,emailmessage.RecipientAddress,emailmessage.HideIn FROM emailmessage WHERE emailmessage.PatNum IN (61) AND emailmessage.SentOrReceived NOT IN (13,12) ;"	0
"SELECT FormDateTime,FormPatNum FROM formpat WHERE PatNum =61;"	0
"SELECT DateTimeSheet,SheetNum,SheetType,Description,PatNum FROM sheet WHERE IsDeleted=0 AND SheetType!=5 AND PatNum IN (61);"	0
SELECT * FROM repeatcharge WHERE PatNum = 61 ORDER BY DateStart;	0
SELECT * FROM patfield WHERE PatNum=61;	0
SELECT * FROM claim WHERE PatNum = 61 ORDER BY dateservice;	0
SELECT * FROM paysplit WHERE PatNum IN (61) AND UnearnedType!=0 UNION ALL SSELECT paysplit.* FROM payment INNER JOIN paysplit ON paysplit.PayNum=payment.PayNum WHERE payment.PatNum IN (61) AND paysplit.PatNum NOT IN (61) AND UnearnedType!=0 ORDER BY DatePay;	0
SELECT * FROM patientlink WHERE (PatNumTo IN(61) OR PatNumFrom IN(61)) AND LinkType=1;	0
SELECT * FROM procedurelog WHERE PatNum=61 AND ProcStatus IN (2);	0
SELECT discountplan.*             FROM discountplan            INNER JOIN discountplansub ON discountplansub.DiscountPlanNum=discountplan.DiscountPlanNum            WHERE discountplansub.PatNum IN (61) ;	0
SELECT * FROM discountplansub WHERE PatNum = 61;	0
"INSERT INTO securitylog (PermType,UserNum,LogDateTime,LogText,PatNum,CompName,FKey,LogSource,DefNum,DefNumError,DateTPrevious) VALUES(3,1,NOW(),'',61,'ALEXG',0,0,0,0,'0001-01-01 00:00:00');"	0
SELECT * FROM securitylog WHERE SecurityLogNum = 18107;	0
"INSERT INTO securityloghash (SecurityLogNum,LogHash) VALUES(18107,'eVAGAyjP/hQuna+XbocQoAiaUAznHNX+RzuTYpaYATE=');"	0
SELECT PatNum FROM patient WHERE Guarantor IN (61);	0
"SELECT tSums.PatNum,ROUND(CASE WHEN tSums.TotalCredits >= tSums.ChargesOver90 THEN 0 ELSE tSums.ChargesOver90 - tSums.TotalCredits END,3) BalOver90,ROUND(CASE WHEN tSums.TotalCredits <= tSums.ChargesOver90 THEN tSums.Charges_61_90 WHEN tSums.ChargesOver90 + tSums.Charges_61_90 <= tSums.TotalCredits THEN 0 ELSE tSums.ChargesOver90 + tSums.Charges_61_90 - tSums.TotalCredits END,3) Bal_61_90,ROUND(CASE WHEN tSums.TotalCredits < tSums.ChargesOver90 + tSums.Charges_61_90 THEN tSums.Charges_31_60 WHEN tSums.ChargesOver90 + tSums.Charges_61_90 + tSums.Charges_31_60 <= tSums.TotalCredits THEN 0 ELSE tSums.ChargesOver90 + tSums.Charges_61_90 + tSums.Charges_31_60 - tSums.TotalCredits END,3) Bal_31_60,ROUND(CASE WHEN tSums.TotalCredits < tSums.ChargesOver90 + tSums.Charges_61_90 + tSums.Charges_31_60 THEN tSums.Charges_0_30 WHEN tSums.ChargesOver90 + tSums.Charges_61_90 + tSums.Charges_31_60 + tSums.Charges_0_30 <= tSums.TotalCredits THEN 0 ELSE tSums.ChargesOver90 + tSums.Charges_61_90 + tSums.Charges_31_60 + tSums.Charges_0_30 - tSums.TotalCredits END,3) Bal_0_30,ROUND(tSums.BalTotal,3) BalTotal,ROUND(tSums.InsPayEst+tSums.InsWoEst,3) InsEst,ROUND(tSums.PayPlanDue,3) PayPlanDue FROM (SSELECT transSums.PatNum,GREATEST(transSums.ChargesOver90,0) ChargesOver90,GREATEST(transSums.Charges_61_90,0) Charges_61_90,GREATEST(transSums.Charges_31_60,0) Charges_31_60,GREATEST(transSums.Charges_0_30,0) Charges_0_30,transSums.TotalCredits - LEAST(transSums.ChargesOver90,0) - LEAST(transSums.Charges_61_90,0) - LEAST(transSums.Charges_31_60,0) - LEAST(transSums.Charges_0_30,0) TotalCredits,transSums.BalTotal,transSums.InsWoEst,transSums.InsPayEst,transSums.PayPlanDue FROM (SSELECT p.Guarantor PatNum,SUM(CASE WHEN (trans.TranAmount > 0 OR trans.TranType IN ('WriteoffOrig','SumByProcAndDate')) AND trans.TranDate < '2022-03-16' THEN trans.TranAmount ELSE 0 END) ChargesOver90,SUM(CASE WHEN (trans.TranAmount > 0 OR trans.TranType IN ('WriteoffOrig','SumByProcAndDate')) AND trans.TranDate < '2022-04-15' AND trans.TranDate >= '2022-03-16' THEN trans.TranAmount ELSE 0 END) Charges_61_90,SUM(CASE WHEN (trans.TranAmount > 0 OR trans.TranType IN ('WriteoffOrig','SumByProcAndDate')) AND trans.TranDate < '2022-05-15' AND trans.TranDate >= '2022-04-15' THEN trans.TranAmount ELSE 0 END) Charges_31_60,SUM(CASE WHEN (trans.TranAmount > 0 OR trans.TranType IN ('WriteoffOrig','SumByProcAndDate')) AND trans.TranDate <= '2022-06-14' AND trans.TranDate >= '2022-05-15' THEN trans.TranAmount ELSE 0 END) Charges_0_30,-SUM(CASE WHEN trans.TranAmount < 0 AND NOT(trans.TranType IN ('WriteoffOrig','SumByProcAndDate')) AND trans.TranDate <= '2022-06-14' THEN trans.TranAmount ELSE 0 END) TotalCredits,SUM(CASE WHEN trans.TranAmount != 0 THEN trans.TranAmount ELSE 0 END) BalTotal,SUM(trans.InsWoEst) InsWoEst,SUM(trans.InsPayEst) InsPayEst,SUM(trans.PayPlanAmount) PayPlanDue FROM (SSELECT (CASE WHEN tranbyproc.AgedProcNum=0 THEN tranbyproc.TranType ELSE 'SumByProcAndDate' END) TranType,0 PriKey,tranbyproc.PatNum,(CASE WHEN tranbyproc.AgedProcNum!=0 AND SUM(tranbyproc.TranAmount) < 0 THEN tranbyproc.AgedProcDate ELSE tranbyproc.TranDate END) TranDate,SUM(tranbyproc.TranAmount) TranAmount,SUM(tranbyproc.PayPlanAmount) PayPlanAmount,SUM(tranbyproc.InsWoEst) InsWoEst,SUM(tranbyproc.InsPayEst) InsPayEst FROM (SSELECT 'Proc' TranType,pl.ProcNum PriKey,pl.PatNum,pl.ProcDate TranDate,pl.ProcFee*(pl.UnitQty+pl.BaseUnits) TranAmount,0 PayPlanAmount,0 InsWoEst,0 InsPayEst,0 AgedProcNum,'0001-01-01' AgedProcDate FROM procedurelog pl WHERE pl.ProcStatus=2 AND pl.ProcFee != 0 AND pl.PatNum IN (61) UNION ALL SSELECT 'Claimproc' TranType,cp.ClaimProcNum PriKey,cp.PatNum,cp.DateCP TranDate,(CASE WHEN cp.Status != 0 THEN (CASE WHEN cp.PayPlanNum = 0 THEN -cp.InsPayAmt ELSE 0 END) - cp.WriteOff ELSE 0 END) TranAmount,0 PayPlanAmount,(CASE WHEN cp.Status = 0 THEN cp.WriteOff ELSE 0 END) InsWoEst,(CASE WHEN cp.Status = 0 THEN cp.InsPayEst ELSE 0 END) InsPayEst,0 AgedProcNum,'0001-01-01' AgedProcDate FROM claimproc cp LEFT JOIN payplan pp ON cp.PayPlanNum=pp.PayPlanNum WHERE cp.Status IN (0,1,4,5,7) AND cp.PatNum IN (61) HAVING TranAmount != 0 OR InsWoEst != 0 OR InsPayEst != 0 UNION ALL SSELECT 'Adj' TranType,a.AdjNum PriKey,a.PatNum,a.AdjDate TranDate,a.AdjAmt TranAmount,0 PayPlanAmount,0 InsWoEst,0 InsPayEst,a.ProcNum AgedProcNum,a.ProcDate AgedProcDate FROM adjustment a WHERE a.AdjAmt != 0 AND a.PatNum IN (61) UNION ALL SSELECT 'PatPay' TranType,ps.SplitNum PriKey,ps.PatNum,ps.DatePay TranDate,-ps.SplitAmt TranAmount,(CASE WHEN ps.PayPlanNum != 0 AND COALESCE(pp.IsClosed,0)=0 THEN -ps.SplitAmt ELSE 0 END) PayPlanAmount,0 InsWoEst,0 InsPayEst,0 AgedProcNum,'0001-01-01' AgedProcDate FROM paysplit ps LEFT JOIN payplan pp ON ps.PayPlanNum=pp.PayPlanNum WHERE ps.SplitAmt != 0 AND ps.UnearnedType NOT IN (352) AND ps.PatNum IN (61) UNION ALL SSELECT 'PPCharge' TranType,ppc.PayPlanChargeNum PriKey,ppc.Guarantor PatNum,ppc.ChargeDate TranDate,0 TranAmount,ppc.Principal+ppc.Interest PayPlanAmount,0 InsWoEst,0 InsPayEst,0 AgedProcNum,'0001-01-01' AgedProcDate FROM payplancharge ppc INNER JOIN payplan pp ON ppc.PayPlanNum=pp.PayPlanNum WHERE ppc.ChargeDate <= '2022-06-24' AND ppc.ChargeType=0 AND !pp.IsClosed AND ppc.Guarantor IN (61) AND ppc.Principal+ppc.Interest != 0 AND pp.PlanNum=0 UNION ALL SSELECT 'PPCComplete' TranType,ppc.PayPlanChargeNum PriKey,(CASE WHEN ppc.ChargeType = 0 THEN ppc.Guarantor ELSE pp.PatNum END) PatNum,ppc.ChargeDate TranDate,(CASE WHEN ppc.ChargeType != 0 THEN -ppc.Principal WHEN pp.PlanNum=0 THEN ppc.Principal+ppc.Interest ELSE 0 END) TranAmount,0 PayPlanAmount,0 InsWoEst,0 InsPayEst,(CASE WHEN ppc.ChargeType=1 THEN ppc.ProcNum ELSE 0 END) AgedProcNum,pl.ProcDate AgedProcDate FROM payplancharge ppc LEFT JOIN payplan pp ON pp.PayPlanNum=ppc.PayPlanNum LEFT JOIN procedurelog pl ON pl.ProcNum=ppc.ProcNum WHERE ppc.ChargeDate <= '2022-06-14' AND (CASE WHEN ppc.ChargeType = 0 THEN ppc.Guarantor ELSE ppc.PatNum end) IN (61) UNION ALL     SSELECT 'PayPlanLink' TranType,ppl.PayPlanLinkNum PriKey,prodlink.PatNum PatNum,DATE(ppl.SecDateTEntry) TranDate,     (CASE WHEN ppl.AmountOverride=0 THEN -prodlink.Fee ELSE -ppl.AmountOverride END) TranAmount,0 PayPlanAmount,0 InsWoEst,0 InsPayEst,prodlink.ProcNum AgedProcNum,prodlink.AgeDate AgedProcDate      FROM payplanlink ppl     LEFT JOIN (      SSELECT procedurelog.PatNum,(procedurelog.ProcFee*(procedurelog.UnitQty+procedurelog.BaseUnits)        +COALESCE(procAdj.AdjAmt,0)+COALESCE(procClaimProc.InsPay,0)        +COALESCE(procClaimProc.WriteOff,0)        +COALESCE(procSplit.SplitAmt,0)       ) Fee,       payplanlink.PayPlanLinkNum LinkNum,procedurelog.ProcNum,procedurelog.ProcDate AgeDate       FROM payplanlink      INNER JOIN payplan ON payplanlink.PayPlanNum=payplan.PayPlanNum      INNER JOIN procedurelog ON procedurelog.ProcNum=payplanlink.FKey       AND payplanlink.LinkType=2       AND !(payplan.dynamicPayPlanTPOption=1 AND procedurelog.ProcStatus!=2)      LEFT JOIN (       SSELECT SUM(adjustment.AdjAmt) AdjAmt,adjustment.ProcNum,adjustment.PatNum,adjustment.ProvNum,adjustment.ClinicNum       FROM adjustment WHERE adjustment.PatNum IN (61) GROUP BY adjustment.ProcNum,adjustment.PatNum,adjustment.ProvNum,adjustment.ClinicNum      )procAdj ON procAdj.ProcNum=procedurelog.ProcNum       AND procAdj.PatNum=procedurelog.PatNum       AND procAdj.ProvNum=procedurelog.ProvNum       AND procAdj.ClinicNum=procedurelog.ClinicNum      LEFT JOIN (       SSELECT SUM(COALESCE((CASE WHEN claimproc.Status IN (        1,4,7       ) THEN claimproc.InsPayAmt         WHEN claimproc.InsEstTotalOverride!=-1 THEN claimproc.InsEstTotalOverride ELSE claimproc.InsPayEst END),0)*-1) InsPay       ,SUM(COALESCE((CASE WHEN claimproc.Status IN (        1,4,7       ) THEN claimproc.WriteOff         WHEN claimproc.WriteOffEstOverride!=-1 THEN claimproc.WriteOffEstOverride         WHEN claimproc.WriteOffEst!=-1 THEN claimproc.WriteOffEst ELSE 0 END),0)*-1) WriteOff       ,claimproc.ProcNum       FROM claimproc        WHERE claimproc.Status!=2 AND claimproc.PatNum IN (61) GROUP BY claimproc.ProcNum      )procClaimProc ON procClaimProc.ProcNum=procedurelog.ProcNum       LEFT JOIN (       SSELECT SUM(paysplit.SplitAmt)*-1 SplitAmt,paysplit.ProcNum       FROM paysplit       WHERE paysplit.PayPlanNum=0 AND paysplit.PatNum IN (61) GROUP BY paysplit.ProcNum      )procSplit ON procSplit.ProcNum=procedurelog.ProcNum     UNION ALL       SSELECT adjustment.PatNum,adjustment.AdjAmt + COALESCE(adjSplit.SplitAmt,0) Fee,payplanlink.PayPlanLinkNum LinkNum       ,0 ProcNum,DATE('0001-01-01') AgeDate       FROM payplanlink       INNER JOIN adjustment ON adjustment.AdjNum=payplanlink.FKey        AND payplanlink.LinkType=1       LEFT JOIN (        SSELECT SUM(COALESCE(paysplit.SplitAmt,0))*-1 SplitAmt,paysplit.AdjNum        FROM paysplit        WHERE paysplit.PayPlanNum=0 AND paysplit.PatNum IN (61) GROUP BY paysplit.AdjNum      )adjSplit ON adjSplit.AdjNum=adjustment.AdjNum     ) prodlink ON prodlink.LinkNum=ppl.PayPlanLinkNum WHERE prodlink.PatNum IN (61) AND prodlink.AgeDate <= '2022-06-14' UNION ALL SSELECT 'FamPatNums' TranType,PatNum PriKey,PatNum,'0001-01-01' TranDate,0 TranAmount,0 PayPlanAmount,0 InsWoEst,0 InsPayEst,0 AgedProcNum,'0001-01-01' AgedProcDate FROM patient WHERE PatNum IN (61)) tranbyproc GROUP BY tranbyproc.PatNum,tranbyproc.AgedProcNum,tranbyproc.TranDate,(CASE WHEN tranbyproc.AgedProcNum=0 THEN tranbyproc.TranType ELSE 'SumByProcAndDate' END),(CASE WHEN tranbyproc.AgedProcNum=0 AND tranbyproc.TranAmount >= 0 THEN 'credit' WHEN tranbyproc.AgedProcNum=0 AND tranbyproc.TranAmount < 0 THEN 'charge' ELSE 'SumByProcAndDate' END)) trans INNER JOIN patient p ON p.PatNum=trans.PatNum GROUP BY p.Guarantor ORDER BY NULL) transSums) tSumsUPDATE patient p SET p.BalOver90 =CASE WHEN p.Guarantor!=p.PatNum THEN 0 ELSE 0 END,p.Bal_61_90 =CASE WHEN p.Guarantor!=p.PatNum THEN 0 ELSE 0 END,p.Bal_31_60 =CASE WHEN p.Guarantor!=p.PatNum THEN 0 ELSE 0 END,p.Bal_0_30  =CASE WHEN p.Guarantor!=p.PatNum THEN 0 ELSE 0 END,p.BalTotal  =CASE WHEN p.Guarantor!=p.PatNum THEN 0 ELSE 0 END,p.InsEst    =CASE WHEN p.Guarantor!=p.PatNum THEN 0 ELSE 0 END,p.PayPlanDue=CASE WHEN p.Guarantor!=p.PatNum THEN 0 ELSE 0 END WHERE p.Guarantor=61;"	0
"SELECT ClaimNum,MAX(ClaimPaymentNum) ClaimPaymentNum,MAX(claimproc.ClinicNum) ClinicNum,DateCP,SUM(CASE WHEN claimproc.PayPlanNum=0 THEN InsPayAmt ELSE 0 END) InsPayAmt_,SUM(CASE WHEN claimproc.PayPlanNum!=0 THEN InsPayAmt ELSE 0 END) InsPayAmtPayPlan,MAX(claimproc.PatNum) PatNum,MAX(claimproc.ProcDate) ProcDate,SUM(WriteOff) WriteOff_,IsTransfer, (SSELECT ProvTreat FROM claim WHERE claimproc.ClaimNum=claim.ClaimNum) provNum_,MAX(claimproc.PayPlanNum) PayPlanNum,MAX(claimproc.SecDateTEdit) SecDateTEdit, MAX(claimproc.ProcNum) HasProc FROM claimproc WHERE Status IN (1,4,5) AND (WriteOff!=0 OR InsPayAmt!=0) AND PatNum IN (61) GROUP BY claimproc.ClaimNum,claimproc.DateCP,claimproc.Status,CASE WHEN claimproc.Status=4 THEN claimproc.ClaimPaymentNum ELSE 0 END;"	0
"SELECT     (SSELECT SUM(AdjAmt) FROM adjustment WHERE procedurelog.ProcNum=adjustment.ProcNum     AND adjustment.ProcNum!=0) adj_,procedurelog.BaseUnits,procedurelog.BillingNote,procedurelog.ClinicNum,procedurecode.CodeNum,procedurecode.AbbrDesc,Descript,    SUM(CASE WHEN claimproc.Status IN (1,4,7,5)      THEN claimproc.InsPayAmt END) insPayAmt_,    SUM(CASE WHEN claimproc.Status=0 THEN claimproc.InsPayEst END) insPayEst_,    LaymanTerm,procedurelog.MedicalCode,MAX(claimproc.NoBillIns) noBillIns_,procedurelog.PatNum,    (SSELECT SUM(paysplit.SplitAmt) FROM paysplit WHERE procedurelog.ProcNum=paysplit.ProcNum     AND paysplit.ProcNum!=0) patPay_,ProcCode,procedurelog.ProcDate procDate_,ProcFee,procedurelog.ProcNum,procedurelog.ProcNumLab,procedurelog.ProvNum,procedurelog.Surf,    ToothNum,ToothRange,UnitQty,SUM(CASE WHEN claimproc.Status IN(0,1,4,5) THEN claimproc.WriteOff END) writeOff_,    MIN(CASE WHEN claimproc.Status!=7      AND insplan.IsMedical=(CASE WHEN procedurelog.MedicalCode!='' THEN 1 ELSE 0 END)      THEN (CASE WHEN claimproc.Status IN (6,8,9) THEN 0 ELSE 1 END) END) unsent_,    SUM(CASE WHEN claimproc.Status=7 THEN claimproc.WriteOff END) writeOffCap_,    procedurelog.StatementNum,procedurelog.DateTStamp    FROM procedurelog    INNER JOIN procedurecode ON procedurelog.CodeNum=procedurecode.CodeNum LEFT JOIN claimproc USE INDEX(indexAcctCov) ON procedurelog.ProcNum=claimproc.ProcNum     LEFT JOIN insplan ON insplan.PlanNum=claimproc.PlanNum    WHERE ProcStatus=2 AND procedurelog.PatNum IN (61) GROUP BY procedurelog.ProcNum ;"	0
"SELECT adjustment.AdjAmt,adjustment.AdjDate,adjustment.AdjNum,adjustment.AdjType,adjustment.ClinicNum,adjustment.PatNum,    adjustment.ProcNum,adjustment.ProvNum,adjustment.AdjNote,adjustment.SecDateTEdit,    SUM(IF(paysplit.PatNum IN (61),paysplit.SplitAmt,0)) SumAmt    FROM adjustment    LEFT JOIN paysplit ON paysplit.AdjNum>0 AND adjustment.AdjNum=paysplit.AdjNum WHERE adjustment.PatNum IN (61) GROUP BY adjustment.AdjNum ;"	0
SELECT * FROM payplan WHERE Guarantor=61 OR PatNum IN(61);	0
"SELECT MAX(CheckNum) CheckNum,paysplit.ClinicNum,MAX(DatePay) DatePay,paysplit.PatNum,MAX(payment.PatNum) patNumPayment_,MAX(PayAmt) PayAmt,paysplit.PayNum,paysplit.PayPlanNum,MAX(PayType) PayType,MAX(ProcDate) ProcDate,'' AS ProcNums_,MAX(ProvNum) ProvNum,SUM(SplitAmt) splitAmt_,MAX(payment.PayNote) PayNote,MAX(paysplit.UnearnedType) UnearnedType,MAX(paysplit.SecDateTEdit) SecDateTEdit,'' as AdjNums_,0 isOutOfFamily_ FROM paysplit LEFT JOIN payment ON paysplit.PayNum=payment.PayNum WHERE (paysplit.PatNum IN (61)) AND paysplit.UnearnedType NOT IN (352)  GROUP BY paysplit.DatePay,paysplit.PayPlanNum,paysplit.PayNum,paysplit.PatNum,paysplit.ClinicNum UNION ALL SSELECT MAX(CheckNum) CheckNum,paysplit.ClinicNum,MAX(DatePay) DatePay,payment.PatNum,MAX(payment.PatNum) patNumPayment_,MAX(payment.PayAmt) PayAmt,paysplit.PayNum,MAX(paysplit.PayPlanNum),MAX(PayType) PayType,MAX(paysplit.ProcDate) ProcDate,'' AS ProcNums_,MAX(paysplit.ProvNum) ProvNum,0 AS splitAmt_,MAX(payment.PayNote) PayNote,MAX(paysplit.UnearnedType) UnearnedType,MAX(paysplit.SecDateTEdit) SecDateTEdit,'' as AdjNums_, 1 isOutOfFamily_ FROM payment INNER JOIN paysplit ON payment.PayNum=paysplit.PayNum AND paysplit.PatNum NOT IN (61) WHERE payment.PatNum=61 GROUP BY payment.PayNum ;"	0
SELECT * FROM paysplit WHERE (paysplit.PatNum IN (61)) AND paysplit.UnearnedType NOT IN (352) ;	0
"SELECT CarrierName,ClaimFee,claim.ClaimNum,ClaimStatus,ClaimType,claim.ClinicNum,DateReceived,DateService,claim.DedApplied,claim.InsPayEst,claim.InsPayAmt,claim.PatNum,ProvTreat,claim.ReasonUnderPaid,claim.WriteOff,GROUP_CONCAT(DISTINCT claimproc.ProcNum SEPARATOR ',') ProcNums_,MAX(claim.SecDateTEdit) SecDateTEdit FROM claim LEFT JOIN insplan ON claim.PlanNum=insplan.PlanNum LEFT JOIN carrier ON carrier.CarrierNum=insplan.CarrierNum INNER JOIN claimproc ON claimproc.ClaimNum=claim.ClaimNum WHERE ClaimType != 'PreAuth' AND claim.PatNum IN (61) GROUP BY carrier.CarrierName,claim.ClaimNum,claim.ClaimFee,claim.ClaimStatus,claim.ClaimType,claim.ClinicNum,claim.DateReceived,claim.DateService,claim.DedApplied,claim.InsPayEst,claim.InsPayAmt,claim.PatNum,claim.ProvTreat,claim.ReasonUnderPaid,claim.WriteOff;"	0
"SELECT claim.ClaimNum,claimproc.ProcNum,ProcFee*(BaseUnits+UnitQty) procAmt_ FROM claim INNER JOIN claimproc ON claimproc.ClaimNum=claim.ClaimNum AND claimproc.ProcNum>0 LEFT JOIN procedurelog ON procedurelog.ProcNum=claimproc.ProcNum WHERE claim.ClaimType!='PreAuth' AND claim.PatNum IN (61) ;"	0
"SELECT DateSent,IsSent,Mode_,StatementNum,PatNum,Note,NoteBold,IsInvoice,SuperFamily,DateTStamp FROM statement WHERE (PatNum IN (61) ) ;"	0
"SELECT SUM(COALESCE(payplancharge.Principal,0)) principal_,SUM(COALESCE(payplancharge.Interest,0)) interest_,SUM(CASE WHEN payplancharge.ChargeDate<=CURDATE() THEN payplancharge.Principal ELSE 0 END) principalDue_,SUM(CASE WHEN payplancharge.ChargeDate<=CURDATE() THEN payplancharge.Interest ELSE 0 END) interestDue_,MAX(carrier.CarrierName) CarrierName,payplan.CompletedAmt,payplan.Guarantor,payplan.PatNum,payplan.PayPlanDate,payplan.PayPlanNum,payplan.APR,payplan.DownPayment,payplan.ChargeFrequency,payplan.PayAmt,payplan.DateInterestStart,payplan.DatePayPlanStart,payplan.PlanNum,payplan.IsClosed,payplan.PlanCategory,MAX(payplancharge.SecDateTEntry) SecDateTEntry, COALESCE(MAX(payplancharge.ClinicNum),0) ClinicNum,payplan.IsDynamic,payplan.MobileAppDeviceNum FROM payplan LEFT JOIN payplancharge ON payplancharge.PayPlanNum=payplan.PayPlanNum AND payplancharge.ChargeType=0 LEFT JOIN insplan ON insplan.PlanNum=payplan.PlanNum LEFT JOIN carrier ON carrier.CarrierNum=insplan.CarrierNum WHERE payplan.PatNum IN (61) OR payplan.Guarantor IN (61) GROUP BY payplan.PayPlanNum;"	0
